年另,YEAR., IMPORTS FROM,,EXPORTS TO,, TOTAL IMPORTS AND EXPORTS., RE-EXPORTS.,TREASURE.,,TRANSIT TRADE.,,,,,,,,,,,,,,,
,, Foreign Countries.,Chinese Ports.,Foreign Countries., Chinese Ports.,,,Imported., Exported.,Inwards.,Outwards.,,,,,,,,,,,,,,
,,Hk.Tts., Hk.Tts.,Hk.Tts., Hk.Tts., Hk.Tts., Hk.Tts., Hk.Tts., Hk.Tts.,Hk.Tts.,Hk.Tts.,,,,,,,,,,,,,,
十一年,1922,"12,097,483","719,348","38,328,557","2,584,952","53,730,340","8,352,410","3,506,089","432,513","218,449","28,184",,,,,,,,,,,,,,
十亠年,1923,"9,236,497","1,112,524","33,848,323","1,671,610","45,868,954","6,592,036","3,875,093","116,572","100,953","19,554",,,,,,,,,,,,,,
十三年,1924,"9,439,276","671,179","45,301,789","2,196,636","57,608,880","4,306,920","2,469,337","38,297","84,148","10,365",,,,,,,,,,,,,,
十四年,1925,"12,828,681","574,581","42,541,441","2,037,057","57,981,760","5,187,515","2,025,700","4,542","210,732","6,780",,,,,,,,,,,,,,
十五年,1926,"20,242,952","748,906","58,357,343","2,341,088","81,690,289","4,798,811","517,340",,"476,820",,,,,,,,,,,,,,,
十六年,1927,"22,026,287","1,011,531","68,354,506","2,070,375","93,462,699","3,417,910","59,941",,"844,669",,,,,,,,,,,,,,,
十七年,1928,"27,915,479","743,182","76,436,377","1,772,667","106,867,705","2,110,356","2,499,133",,"808,181",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,D
